z;symbol;latin;pt;es;en
1;H;Hydrogenium;Hidrogênio;Hidrógeno;Hydrogen
2;He;Helium;Hélio;Helio;Helium
3;Li;Lithium;Lítio;Litio;Lithium
4;Be;Beryllium;Berílio;Berilio;Beryllium
5;B;Borium;Boro;Boro;Boron
6;C;Carbonium;Carbono;Carbono;Carbon
7;N;Nitrogenium;Nitrogênio;Nitrógeno;Nitrogen
8;O;Oxygenium;Oxigênio;Oxígeno;Oxygen
9;F;Fluorum;Flúor;Flúor;Fluorine
10;Ne;Neon;Neônio;Neón;Neon
11;Na;Natrium;Sódio;Sodio;Sodium
12;Mg;Magnesium;Magnésio;Magnesio;Magnesium
13;Al;Alumen;Alumínio;Aluminio;Aluminium
14;Si;Silicium;Silício;Silicio;Silicon
15;P;Phosphorus;Fósforo;Fósforo;Phosphorus
16;S;Sulphur;Enxofre;Azufre;Sulfur
17;Cl;Clorum;Cloro;Cloro;Chlorine
18;Ar;Argon;Argônio;Argón;Argon
19;K;Kalium;Potássio;Potasio;Potassium
20;Ca;Calcium;Cálcio;#N/A;Calcium
21;Sc;Scandium;Escândio;Escandio;Scandium
22;Ti;Titanium;Titânio;Titanio;Titanium
23;V;Vanadium;Vanádio;Vanadio;Vanadium
24;Cr;Chromium;Cromo;Cromo;Chromium
25;Mn;Manganum;Manganês;Manganeso;Manganese
26;Fe;Ferrum;Ferro;Hierro;Iron
27;Co;Cobaltum;Cobalto;Cobalto;Cobalt
28;Ni;Niccolum;Níquel;Níquel;Nickel
29;Cu;Cuprum;Cobre;Cobre;Copper
30;Zn;Zincum;Zinco;Zinc;Zinc
31;Ga;Galium;Gálio;Galio;Gallium
32;Ge;Germanium;Germânio;Germanio;Germanium
33;As;Arsenicum;Arsénio;Arsénico;Arsenic
34;Se;Selenium;Selénio;Selenio;Selenium
35;Br;Bromum;Bromo;Bromo;Bromine
36;Kr;Krypton;Criptônio;Kriptón;Krypton
37;Rb;Rubidium;Rubídio;Rubidio;Rubidium
38;Sr;Strontium;Estrôncio;Estroncio;Strontium
39;Y;Yttrium;Ítrio;Ytrio;Yttrium
40;Zr;Zirconium;Zircônio;Zirconio;Zirconium
41;Nb;Niobium;Nióbio;Niobio;Niobium
42;Mo;Molybdenum;Molibdénio;Molibdeno;Molybdenum
43;Tc;Technetium;Tecnécio;Tecnecio;Technetium
44;Ru;Ruthenium;Rutênio;Rutenio;Ruthenium
45;Rh;Rhodium;Ródio;Rodio;Rhodium
46;Pd;Palladium;Paládio;Paladio;Palladium
47;Ag;Argentum;Prata;Plata;Silver
48;Cd;Cadmium;Cádmio;Cadmio;Cadmium
49;In;Indium;Índio;Indio;Indium
50;Sn;Stannum;Estanho;Estaño;Tin
51;Sb;Stibium;Antimônio;Antimonio;Antimony
52;Te;Tellurium;Telúrio;Teluro;Tellurium
53;I;Iodum;Iodo;Yodo;Iodine
54;Xe;Xenon;Xenônio;Xenón;Xenon
55;Cs;Caesium;Césio;Cesio;Caesium
56;Ba;Barium;Bário;Bario;Barium
57;La;Lanthanum;Lantânio;Lantano;Lanthanum
58;Ce;Cerium;Cério;Cerio;Cerium
59;Pr;Praseodymium;Praseodímio;Praseodimio;Praseodymium
60;Nd;Neodymium;Neodímio;Neodimio;Neodymium
61;Pm;Promethium;Promécio;Prometio;Promethium
62;Sm;Samarium;Samário;Samario;Samarium
63;Eu;Europium;Európio;Europio;Europium
64;Gd;Gadolinium;Gadolínio;Gadolinio;Gadolinium
65;Tb;Terbium;Térbio;Terbio;Terbium
66;Dy;Dysprosium;Disprósio;Disprosio;Dysprosium
67;Ho;Holmium;Hólmio;Holmio;Holmium
68;Er;Erbium;Érbio;Erbio;Erbium
69;Tm;Thulium;Túlio;Tulio;Thulium
70;Yb;Ytterbium;Itérbio;Yterbio;Ytterbium
71;Lu;Lutetium;Lutécio;Lutecio;Lutetium
72;Hf;Hafnium;Háfnio;Hafnio;Hafnium
